,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
186,22017,1610612756,PHX,Phoenix Suns,0021700573,2018-01-05,PHX @ SAS,L,240,89,35,83,0.422,7,30,0.233,12,18,0.667,9,37,46,22,11,2,23,23,-14.0
187,22017,1610612756,PHX,Phoenix Suns,0021700563,2018-01-03,PHX @ DEN,L,242,111,39,92,0.424,13,35,0.371,20,28,0.714,14,21,35,26,12,1,12,18,-23.0
188,22017,1610612756,PHX,Phoenix Suns,0021700551,2018-01-02,PHX vs. ATL,W,240,104,39,77,0.506,7,22,0.318,19,26,0.731,11,36,47,24,7,4,21,22,1.0
189,22017,1610612756,PHX,Phoenix Suns,0021700544,2017-12-31,PHX vs. PHI,L,240,110,37,88,0.42,10,27,0.37,26,34,0.765,12,23,35,18,9,4,16,29,-13.0
190,22017,1610612756,PHX,Phoenix Suns,0021700527,2017-12-29,PHX @ SAC,W,240,111,41,85,0.482,13,30,0.433,16,24,0.667,16,31,47,26,5,5,10,19,10.0
191,22017,1610612756,PHX,Phoenix Suns,0021700504,2017-12-26,PHX vs. MEM,W,240,99,32,72,0.444,8,22,0.364,27,35,0.771,6,35,41,24,5,5,19,29,2.0
192,22017,1610612756,PHX,Phoenix Suns,0021700490,2017-12-23,PHX vs. MIN,L,239,106,40,86,0.465,11,32,0.344,15,24,0.625,9,27,36,24,5,4,13,22,-9.0
193,22017,1610612756,PHX,Phoenix Suns,0021700469,2017-12-21,PHX vs. MEM,W,240,97,33,81,0.407,10,26,0.385,21,27,0.778,12,32,44,21,4,1,10,17,2.0
194,22017,1610612756,PHX,Phoenix Suns,0021700465,2017-12-20,PHX @ LAC,L,240,95,35,97,0.361,8,35,0.229,17,19,0.895,14,36,50,22,3,3,10,25,-13.0
195,22017,1610612756,PHX,Phoenix Suns,0021700448,2017-12-18,PHX @ DAL,W,241,97,35,79,0.443,10,25,0.4,17,22,0.773,7,42,49,17,9,6,18,25,6.0
196,22017,1610612756,PHX,Phoenix Suns,0021700434,2017-12-16,PHX @ MIN,W,241,108,33,72,0.458,11,24,0.458,31,35,0.886,13,39,52,22,4,3,23,21,5.0
197,22017,1610612756,PHX,Phoenix Suns,0021700411,2017-12-13,PHX vs. TOR,L,240,109,37,83,0.446,8,24,0.333,27,34,0.794,10,31,41,20,3,9,11,24,-6.0
198,22017,1610612756,PHX,Phoenix Suns,0021700403,2017-12-12,PHX @ SAC,L,241,92,37,90,0.411,7,32,0.219,11,14,0.786,13,32,45,22,5,4,12,18,-7.0
199,22017,1610612756,PHX,Phoenix Suns,0021700383,2017-12-09,PHX vs. SAS,L,239,101,35,80,0.438,7,25,0.28,24,30,0.8,10,30,40,11,4,1,10,21,-3.0
200,22017,1610612756,PHX,Phoenix Suns,0021700364,2017-12-07,PHX vs. WAS,L,240,99,36,78,0.462,7,23,0.304,20,28,0.714,10,32,42,22,5,5,13,21,-10.0
201,22017,1610612756,PHX,Phoenix Suns,0021700350,2017-12-05,PHX @ TOR,L,239,113,37,75,0.493,9,24,0.375,30,38,0.789,0,35,35,23,7,4,17,24,-13.0
202,22017,1610612756,PHX,Phoenix Suns,0021700341,2017-12-04,PHX @ PHI,W,239,115,44,91,0.484,10,22,0.455,17,22,0.773,15,31,46,25,10,9,11,14,14.0
203,22017,1610612756,PHX,Phoenix Suns,0021700326,2017-12-02,PHX @ BOS,L,239,111,48,101,0.475,7,24,0.292,8,11,0.727,16,31,47,24,8,1,10,19,-5.0
204,22017,1610612756,PHX,Phoenix Suns,0021700303,2017-11-29,PHX @ DET,L,241,107,39,84,0.464,7,22,0.318,22,28,0.786,8,29,37,21,11,4,19,19,-24.0
205,22017,1610612756,PHX,Phoenix Suns,0021700299,2017-11-28,PHX @ CHI,W,240,104,38,87,0.437,11,30,0.367,17,23,0.739,13,44,57,25,4,4,15,12,5.0
206,22017,1610612756,PHX,Phoenix Suns,0021700288,2017-11-26,PHX @ MIN,L,239,108,43,85,0.506,13,26,0.5,9,12,0.75,11,26,37,25,6,1,15,20,-11.0
207,22017,1610612756,PHX,Phoenix Suns,0021700275,2017-11-24,PHX vs. NOP,L,240,91,37,94,0.394,2,20,0.1,15,18,0.833,15,33,48,12,9,6,16,18,-24.0
208,22017,1610612756,PHX,Phoenix Suns,0021700264,2017-11-22,PHX vs. MIL,L,265,107,37,93,0.398,7,22,0.318,26,33,0.788,22,38,60,15,7,9,29,26,-6.0
209,22017,1610612756,PHX,Phoenix Suns,0021700239,2017-11-19,PHX vs. CHI,W,239,113,45,89,0.506,7,27,0.259,16,22,0.727,9,39,48,32,5,4,12,16,8.0
210,22017,1610612756,PHX,Phoenix Suns,0021700227,2017-11-17,PHX @ LAL,W,241,122,48,103,0.466,13,32,0.406,13,19,0.684,9,35,44,28,10,5,13,22,9.0
211,22017,1610612756,PHX,Phoenix Suns,0021700216,2017-11-16,PHX vs. HOU,L,241,116,47,104,0.452,10,30,0.333,12,21,0.571,16,31,47,28,9,5,14,22,-26.0
212,22017,1610612756,PHX,Phoenix Suns,0021700196,2017-11-13,PHX vs. LAL,L,240,93,37,95,0.389,7,26,0.269,12,20,0.6,11,43,54,15,6,4,15,17,-7.0
213,22017,1610612756,PHX,Phoenix Suns,0021700186,2017-11-11,PHX vs. MIN,W,242,118,46,86,0.535,10,26,0.385,16,24,0.667,7,39,46,21,4,10,18,25,8.0
214,22017,1610612756,PHX,Phoenix Suns,0021700174,2017-11-10,PHX vs. ORL,L,242,112,44,94,0.468,5,24,0.208,19,25,0.76,12,28,40,13,8,5,15,29,-16.0
215,22017,1610612756,PHX,Phoenix Suns,0021700162,2017-11-08,PHX vs. MIA,L,239,115,40,88,0.455,12,29,0.414,23,30,0.767,6,28,34,20,4,2,11,29,-11.0
216,22017,1610612756,PHX,Phoenix Suns,0021700147,2017-11-06,PHX vs. BKN,L,240,92,30,86,0.349,6,25,0.24,26,35,0.743,14,38,52,13,8,7,17,29,-6.0
217,22017,1610612756,PHX,Phoenix Suns,0021700141,2017-11-05,PHX @ SAS,L,240,95,37,81,0.457,8,23,0.348,13,22,0.591,11,34,45,23,5,4,18,16,-17.0
218,22017,1610612756,PHX,Phoenix Suns,0021700124,2017-11-03,PHX @ NYK,L,240,107,34,97,0.351,9,32,0.281,30,37,0.811,20,27,47,17,7,3,10,25,-13.0
219,22017,1610612756,PHX,Phoenix Suns,0021700108,2017-11-01,PHX @ WAS,W,241,122,41,83,0.494,9,24,0.375,31,38,0.816,11,34,45,23,5,5,9,24,6.0
220,22017,1610612756,PHX,Phoenix Suns,0021700102,2017-10-31,PHX @ BKN,W,239,122,45,96,0.469,10,22,0.455,22,24,0.917,10,56,66,18,5,5,18,26,8.0
221,22017,1610612756,PHX,Phoenix Suns,0021700083,2017-10-28,PHX @ POR,L,240,107,37,87,0.425,9,26,0.346,24,30,0.8,12,34,46,21,12,7,17,23,-7.0
222,22017,1610612756,PHX,Phoenix Suns,0021700062,2017-10-25,PHX vs. UTA,W,240,97,42,96,0.438,6,19,0.316,7,9,0.778,16,39,55,18,8,5,16,25,9.0
223,22017,1610612756,PHX,Phoenix Suns,0021700048,2017-10-23,PHX vs. SAC,W,240,117,42,77,0.545,10,30,0.333,23,27,0.852,6,39,45,20,6,5,20,25,2.0
224,22017,1610612756,PHX,Phoenix Suns,0021700037,2017-10-21,PHX @ LAC,L,241,88,27,71,0.38,6,24,0.25,28,38,0.737,4,32,36,19,8,3,19,27,-42.0
