,GAME_ID,MATCHUP,HOME_TEAM,VISITOR_TEAM
18618,0029400914,DEN @ POR,1610612757,1610612743
18619,0029400892,DEN vs. NYK,1610612743,1610612752
18620,0029400883,DEN @ UTH,1610612762,1610612743
18621,0029400874,DEN @ SAC,1610612758,1610612743
18622,0029400861,DEN vs. POR,1610612743,1610612757
18623,0029400847,DEN vs. SAC,1610612743,1610612758
18624,0029400835,DEN @ NYK,1610612752,1610612743
18625,0029400816,DEN @ MIL,1610612749,1610612743
18626,0029400798,DEN @ DET,1610612765,1610612743
18627,0029400765,DEN @ LAC,1610612746,1610612743
18628,0029400753,DEN vs. MIA,1610612743,1610612748
18629,0029400735,DEN vs. MIN,1610612743,1610612750
18630,0029400718,DEN vs. UTH,1610612743,1610612762
18631,0029400706,DEN @ SEA,1610612760,1610612743
18632,0029400700,DEN vs. PHL,1610612743,1610612755
18633,0029400687,DEN vs. LAC,1610612743,1610612746
18634,0029400673,DEN @ WAS,1610612764,1610612743
18635,0029400664,DEN @ PHL,1610612755,1610612743
18636,0029400651,DEN @ NJN,1610612751,1610612743
18637,0029400627,DEN vs. GOS,1610612743,1610612744
18638,0029400614,DEN vs. LAL,1610612743,1610612747
18639,0029400590,DEN @ LAL,1610612747,1610612743
18640,0029400573,DEN @ UTH,1610612762,1610612743
18641,0029400565,DEN @ HOU,1610612745,1610612743
18642,0029400549,DEN @ SAN,1610612759,1610612743
18643,0029400537,DEN vs. NJN,1610612743,1610612751
18644,0029400518,DEN @ SEA,1610612760,1610612743
18645,0029400492,DEN vs. ORL,1610612743,1610612753
18646,0029400469,DEN @ PHX,1610612756,1610612743
18647,0029400463,DEN @ GOS,1610612744,1610612743
18648,0029400455,DEN vs. HOU,1610612743,1610612745
18649,0029400428,DEN @ UTH,1610612762,1610612743
18650,0029400412,DEN vs. MIL,1610612743,1610612749
18651,0029400402,DEN vs. PHX,1610612743,1610612756
18652,0029400370,DEN @ MIN,1610612750,1610612743
18653,0029400356,DEN vs. POR,1610612743,1610612757
18654,0029400355,DEN @ POR,1610612757,1610612743
18655,0029400342,DEN vs. IND,1610612743,1610612754
18656,0029400326,DEN vs. SEA,1610612743,1610612760
18657,0029400322,DEN @ PHX,1610612756,1610612743
18658,0029400303,DEN vs. SAN,1610612743,1610612759
18659,0029400283,DEN @ CHH,1610612766,1610612743
18660,0029400268,DEN @ MIA,1610612748,1610612743
18661,0029400262,DEN @ ORL,1610612753,1610612743
18662,0029400232,DEN vs. WAS,1610612743,1610612764
18663,0029400201,DEN @ MIN,1610612750,1610612743
18664,0029400187,DEN vs. CHH,1610612743,1610612766
18665,0029400163,DEN @ HOU,1610612745,1610612743
18666,0029400140,DEN @ SAC,1610612758,1610612743
18667,0029400103,DEN vs. HOU,1610612743,1610612745
18668,0029400085,DEN vs. DET,1610612743,1610612765
18669,0029400069,DEN vs. SAN,1610612743,1610612759
18670,0029400062,DEN vs. UTH,1610612743,1610612762
18671,0029400046,DEN @ LAL,1610612747,1610612743
18672,0029400017,DEN vs. GOS,1610612743,1610612744
18673,0029400005,DEN vs. MIN,1610612743,1610612750
18674,0049300056,DEN @ UTH,1610612762,1610612743
18675,0049300053,DEN vs. UTH,1610612743,1610612762
18676,0049300049,DEN @ UTH,1610612762,1610612743
18677,0049300046,DEN vs. UTH,1610612743,1610612762
18678,0049300043,DEN vs. UTH,1610612743,1610612762
18679,0049300039,DEN @ UTH,1610612762,1610612743
18680,0049300035,DEN @ UTH,1610612762,1610612743
18681,0049300030,DEN @ SEA,1610612760,1610612743
18682,0049300025,DEN vs. SEA,1610612743,1610612760
18683,0049300017,DEN vs. SEA,1610612743,1610612760
18684,0049300011,DEN @ SEA,1610612760,1610612743
18685,0049300002,DEN @ SEA,1610612760,1610612743
18686,0029301098,DEN @ HOU,1610612745,1610612743
18687,0029301084,DEN vs. UTH,1610612743,1610612762
18688,0029301071,DEN @ LAC,1610612746,1610612743
